Designator,Mid X,Mid Y,Rotation,Layer
C1,144.981041,-24.6325,0.0,bottom
C10,146.4975,-135.13,180.0,bottom
C11,38.174791,-24.445,180.0,bottom
C12,19.099791,-24.445,180.0,bottom
C13,60.890941,-26.0,0.0,bottom
C14,76.485941,-23.5275,90.0,bottom
C2,261.97,-24.725,180.0,bottom
C3,202.949791,-21.415,0.0,bottom
C4,202.949791,-23.925,0.0,bottom
C5,212.556041,-19.9625,0.0,bottom
C6,216.543541,-19.9625,0.0,bottom
C7,212.549791,-24.725,0.0,bottom
C8,216.574791,-24.725,180.0,bottom
C9,56.665941,-24.3025,0.0,bottom
CN1,86.0,-23.34258,270.0,bottom
D1,8.042291,-40.63125,90.0,bottom
D10,193.779791,-40.63125,90.0,bottom
D11,212.829791,-40.63125,90.0,bottom
D12,231.879791,-40.63125,90.0,bottom
D13,250.929791,-40.63125,90.0,bottom
D14,274.742291,-40.63125,90.0,bottom
D15,8.042291,-64.44375,90.0,bottom
D16,27.092291,-64.44375,90.0,bottom
D17,46.142291,-64.44375,90.0,bottom
D18,65.192291,-64.44375,90.0,bottom
D19,84.242291,-64.44375,90.0,bottom
D2,31.854791,-40.63125,90.0,bottom
D20,103.292291,-64.44375,90.0,bottom
D21,122.342291,-64.44375,90.0,bottom
D22,141.392291,-64.44375,90.0,bottom
D23,160.442291,-64.44375,90.0,bottom
D24,179.174791,-64.44375,90.0,bottom
D25,198.542291,-64.44375,90.0,bottom
D26,217.592291,-64.44375,90.0,bottom
D27,236.642291,-64.44375,90.0,bottom
D28,265.217291,-64.44375,90.0,bottom
D29,12.804791,-83.49375,90.0,bottom
D3,50.904791,-40.63125,90.0,bottom
D30,36.617291,-83.49375,90.0,bottom
D31,55.667291,-83.49375,90.0,bottom
D32,74.717291,-83.49375,90.0,bottom
D33,93.767291,-83.49375,90.0,bottom
D34,112.817291,-83.49375,90.0,bottom
D35,131.867291,-83.49375,90.0,bottom
D36,150.917291,-83.49375,90.0,bottom
D37,169.967291,-83.49375,90.0,bottom
D38,189.017291,-83.49375,90.0,bottom
D39,208.067291,-83.49375,90.0,bottom
D4,69.954791,-40.63125,90.0,bottom
D40,227.117291,-83.49375,90.0,bottom
D41,246.167291,-83.49375,90.0,bottom
D42,269.979791,-83.49375,90.0,bottom
D43,15.186041,-102.54375,90.0,bottom
D44,41.379791,-102.54375,90.0,bottom
D45,60.429791,-102.54375,90.0,bottom
D46,79.479791,-102.54375,90.0,bottom
D47,98.529791,-102.54375,90.0,bottom
D48,117.579791,-102.54375,90.0,bottom
D49,136.629791,-102.54375,90.0,bottom
D5,89.004791,-40.63125,90.0,bottom
D50,155.679791,-102.54375,90.0,bottom
D51,174.729791,-102.54375,90.0,bottom
D52,193.779791,-102.54375,90.0,bottom
D53,212.829791,-102.54375,90.0,bottom
D54,231.879791,-102.54375,90.0,bottom
D55,262.836041,-102.54375,90.0,bottom
D56,19.948541,-121.59375,90.0,bottom
D57,50.904791,-121.59375,90.0,bottom
D58,69.954791,-121.59375,90.0,bottom
D59,89.004791,-121.59375,90.0,bottom
D6,112.817291,-40.63125,90.0,bottom
D60,108.054791,-121.59375,90.0,bottom
D61,127.104791,-121.59375,90.0,bottom
D62,146.154791,-121.59375,90.0,bottom
D63,165.204791,-121.59375,90.0,bottom
D64,184.254791,-121.59375,90.0,bottom
D65,203.304791,-121.59375,90.0,bottom
D66,222.354791,-121.59375,90.0,bottom
D67,248.548541,-121.59375,90.0,bottom
D68,274.742291,-121.59375,90.0,bottom
D69,10.423541,-140.64375,90.0,bottom
D7,131.867291,-40.63125,90.0,bottom
D70,34.236041,-140.64375,90.0,bottom
D71,58.048541,-140.64375,90.0,bottom
D72,129.486041,-140.64375,90.0,bottom
D73,198.542291,-140.64375,90.0,bottom
D74,217.592291,-140.64375,90.0,bottom
D75,236.642291,-140.64375,90.0,bottom
D76,255.692291,-140.64375,90.0,bottom
D77,274.742291,-140.64375,90.0,bottom
D78,293.792291,-140.64375,90.0,bottom
D79,305.3075,-72.24375,0.0,bottom
D8,150.917291,-40.63125,90.0,bottom
D80,145.41,-144.45,180.0,bottom
D82,63.315941,-28.0,0.0,bottom
D9,169.967291,-40.63125,90.0,bottom
FPC1,146.03,-130.0,270.0,bottom
FRAMEWORK_FINGERPRINT_SENSOR,297.659791,-114.79375,90.0,top
Q1,141.38,-131.48,180.0,bottom
Q2,141.39,-135.7,180.0,bottom
Q3,141.39,-139.94,180.0,bottom
Q4,153.56,-138.935,180.0,bottom
Q5,65.915941,-23.3525,180.0,bottom
R1,141.545766,-19.888305,180.0,bottom
R10,137.49,-136.66,180.0,bottom
R11,137.49,-140.89,180.0,bottom
R12,157.12,-139.88,0.0,bottom
R13,62.498719,-20.037778,0.0,bottom
R14,56.665941,-22.4025,180.0,bottom
R15,79.080941,-22.34258,180.0,bottom
R16,69.915941,-23.3525,180.0,bottom
R17,295.33,-116.57625,90.0,top
R18,293.055,-117.22625,90.0,top
R19,56.665,-20.845,0.0,bottom
R2,144.869721,-19.888305,180.0,bottom
R3,258.863094,-19.9625,180.0,bottom
R4,261.97625,-19.9625,180.0,bottom
R5,35.074791,-19.9625,180.0,bottom
R6,38.174791,-19.9625,180.0,bottom
R7,15.999791,-19.9625,180.0,bottom
R8,19.099791,-19.9625,180.0,bottom
R9,137.49,-132.43,180.0,bottom
S1,2.962291,-36.63125,0.0,top
S10,188.699791,-36.63125,0.0,top
S11,207.749791,-36.63125,0.0,top
S12,226.799791,-36.63125,0.0,top
S13,245.849791,-36.63125,0.0,top
S14,269.662291,-36.63125,0.0,top
S15,2.962291,-60.44375,0.0,top
S16,22.012291,-60.44375,0.0,top
S17,41.062291,-60.44375,0.0,top
S18,60.112291,-60.44375,0.0,top
S19,79.162291,-60.44375,0.0,top
S2,26.774791,-36.63125,0.0,top
S20,98.212291,-60.44375,0.0,top
S21,117.262291,-60.44375,0.0,top
S22,136.312291,-60.44375,0.0,top
S23,155.362291,-60.44375,0.0,top
S24,174.412291,-60.44375,0.0,top
S25,193.462291,-60.44375,0.0,top
S26,212.512291,-60.44375,0.0,top
S27,231.562291,-60.44375,0.0,top
S28,260.137291,-60.44375,0.0,top
S29,7.724791,-79.49375,0.0,top
S3,45.824791,-36.63125,0.0,top
S30,31.537291,-79.49375,0.0,top
S31,50.587291,-79.49375,0.0,top
S32,69.637291,-79.49375,0.0,top
S33,88.687291,-79.49375,0.0,top
S34,107.737291,-79.49375,0.0,top
S35,126.787291,-79.49375,0.0,top
S36,145.837291,-79.49375,0.0,top
S37,164.887291,-79.49375,0.0,top
S38,183.937291,-79.49375,0.0,top
S39,202.987291,-79.49375,0.0,top
S4,64.874791,-36.63125,0.0,top
S40,222.037291,-79.49375,0.0,top
S41,241.087291,-79.49375,0.0,top
S42,264.899791,-79.49375,0.0,top
S43,10.106041,-98.54375,0.0,top
S44,36.299791,-98.54375,0.0,top
S45,55.349791,-98.54375,0.0,top
S46,74.399791,-98.54375,0.0,top
S47,93.449791,-98.54375,0.0,top
S48,112.499791,-98.54375,0.0,top
S49,131.549791,-98.54375,0.0,top
S5,83.924791,-36.63125,0.0,top
S50,150.599791,-98.54375,0.0,top
S51,169.649791,-98.54375,0.0,top
S52,188.699791,-98.54375,0.0,top
S53,207.749791,-98.54375,0.0,top
S54,226.799791,-98.54375,0.0,top
S55,257.756041,-98.54375,0.0,top
S56,14.868541,-117.57995,0.0,top
S57,45.824791,-117.59375,0.0,top
S58,64.874791,-117.59375,0.0,top
S59,83.924791,-117.59375,0.0,top
S6,107.737291,-36.63125,0.0,top
S60,102.974791,-117.59375,0.0,top
S61,122.024791,-117.59375,0.0,top
S62,141.074791,-117.59375,0.0,top
S63,160.124791,-117.59375,0.0,top
S64,179.174791,-117.59375,0.0,top
S65,198.224791,-117.59375,0.0,top
S66,217.274791,-117.59375,0.0,top
S67,243.468541,-117.59375,0.0,top
S68,269.662291,-117.59375,0.0,top
S69,5.343541,-136.64375,0.0,top
S7,126.787291,-36.63125,0.0,top
S70,29.156041,-136.64375,0.0,top
S71,52.968541,-136.64375,0.0,top
S72,124.4,-136.64375,0.0,top
S73,193.462291,-136.64375,0.0,top
S74,212.512291,-136.64375,0.0,top
S75,231.562291,-136.64375,0.0,top
S76,250.612291,-136.64375,0.0,top
S77,269.662291,-136.64375,0.0,top
S78,288.712291,-136.64375,0.0,top
S8,145.837291,-36.63125,0.0,top
S9,164.887291,-36.63125,0.0,top
SW1,298.359791,-79.49375,0.0,top
U1,298.359791,-44.31,270.0,top
U2,207.793541,-22.34375,180.0,top
U3,73.415941,-23.3525,270.0,bottom
U4,60.515941,-23.3525,90.0,bottom
U5,288.169791,-117.72125,90.0,top
USB1,152.037291,-22.34375,180.0,top
USB2--RPI_PICO_W1,269.119791,-22.34375,180.0,top
USB3,45.282291,-22.34375,180.0,top
USB4,26.232291,-22.34375,180.0,top
